Sr. No.,Product Name,Description,Meta Description,Short Description,Sale Price,Product Price,Is Sale On,Category, As Per Strip Menu,As Per Mega Menu,Slug,Tags
1,Ribbety Frog,"Ribbety Frog is an interesting motorised toy, that possess the characterstic movement of a frog.

It is made with a combination of joinery  methods: mortise-tenon connections, motorised and simple fixation of outer body parts with screws and other accessories.

All the materials are present in the self build kit, escept the batttery which is to be placed in the holder space given.

An eco friendly toy that is designed to encourage and support the curiousity of child. The working of Ribbety Frog explains the concept of motion through 3D model for better understanding and application as well. ",Ribbety Frog is a realistic fun frog in a form of toy that explains the movement of frog through simple gears.,"A realistic fun frog in a form of a toy that explains the movement of the frog through simple gears. It helps in a better understanding of phases and opportunities to modify the movement as well. The Ribbety Frog is a perfect gift for kids and adults alike! Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Ribbety Frog today!",749,749,False,,Classics,"6+ years

Birthday Presents

Return Gifts

Educational Toys

Mechanical Toys

Construction & Building Toys

Wooden Toys",ribbety-frog,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
2,Hobbity Rabbit,"Hobbity Rabbit is an interesting motorised toy, that possess the characterstic movement of a rabbit.

It is made with a combination of joinery  methods: mortise-tenon connections, motorised and simple fixation of outer body parts with screws and other accessories.

All the materials are present in the self build kit, escept the batttery which is to be placed in the holder space given.

An eco friendly toy that is designed to encourage and support the curiousity of child. The working of Hobbity Rabbit explains the concept of motion through 3D model for better understanding and application as well. ",Hoppity Rabbit is a realistic fun rabbit in a form of toy that explains the movement of rabbit through simple gears.,"A realistic fun rabbit in a form of a toy that explains the movement of the rabbit through simple gears. It helps in a better understanding of phases and opportunities to modify the movement as well. The Hobbity Rabbit is a perfect gift for kids and adults alike! Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Hobbity Rabbit today!",749,749,False,,Bestsellers,"6+ years

Birthday Presents

Return Gifts

Educational Toys

Mechanical Toys

Construction & Building Toys

Wooden Toys",hoppity-rabbit,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
3,Humanzee,"Humanzee is an inspiring robot that possesses the characteristic of the moment by a walking human.

It is made with a combination of gear joineries, motorized and simple fixation of varied screws, and accessories.

All the materials are present in the self-build kit, except the battery which is to be placed in the given holder space that works on an attached remote control.

An eco-friendly toy that is designed to inspire enthusiastic minds and support their skills. The working of Humanzee is simply based on phase difference through gears. It gets activated on the power supply. ",Humanzee is a realistic robot in the most mechanical form. It helps in a better understanding of phases and the opportunity to modify the movement as well. ,"A realistic robot in the most mechanical form. It helps in a better understanding of phases and the opportunity to modify the movement as well. The Humanzee is a perfect gift for kids and adults alike! Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Humanzee today!",999,999,False,,Classics,"8+ years

Birthday Presents

Educational Toys

Mechanical Toys

Construction & Building Toys

Wooden Toys",humanzee,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
4,Coin Sorter,"Coin Sorter is a fascinating piece that divides your coins according to their value in a little box.

It is made completely with the mechanical fixing of components. It begins with a rolling mat for coins and ends at the pull-out tray with sorted coins.

All the elements of the toy are present in the self-build kit. Nothing is to be brought and fixed externally.

An eco-friendly toy that is designed to encourage 21st century skills in smart minds. It works on a simple phenomenon of sizes leading to separation.",Coin Sorter is home for all your pennies to get segregated just on a roll. It eases out all the hard work of counting the total no. of coins according to the value. ,"A home for all your pennies to get segregated just on a roll. It eases out all the hard work of counting the total number of coins according to the value. The Coin Sorter is a perfect gift for kids and adults alike! Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Coin Sorter today!",1249,1249,False,,New Arrivals ,"10+ years

Birthday Presents

Educational Toys

Mechanical Toys

Mathematical Toys

Construction & Building Toys

Wooden Toys",coin-sorter,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
5,Marble Fun,"Marble Fun is an exciting working piece that gets the marble rolling and reaching its ultimate place through various stages/ obstacles.

It is made with multiple simple block joints resulting in a working piece. It works on rolling the mechanical roller which is present at the front.

All the elements of the toy are present in the self-build kit. Nothing is to be brought and fixed externally.

An eco-friendly toy that is designed to encourage curious minds. It works on specific dynamics of phase change and the interlocking of steps. It explains the phenomenon of simultaneous working of gears on controlling. ","Marble Fun is a dynamic model with an extreme play of steps, levels, and phases. It helps in exploring different gear motions and working through a pathway followed by a marble.","It is a dynamic model with an extreme play of steps, levels, and phases. It helps in exploring different gear motions and working through a pathway followed by a marble.  The Marble Fun is a perfect gift for kids and adults alike! Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Marble Fun today!",1499,1499,False,,Bestsellers,"10+ years

Birthday Presents

Educational Toys

Mechanical Toys

Construction & Building Toys

Artistic Toys

Wooden Toys",marble-fun,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
6,Tellurian Orrery,"Tellurian Orrery is a thrilling piece that explains solar systems by inculcating the motive within simple components.

It's is made up of minimal components that resultants into a circular model with the most basic and important elements for exploration of space phenomena like eclipses.

All the components, including replicas of Sun, Earth, and Moon are present in the self-build kit. Nothing is to be brought and fixed externally.

A solar system-related scientific model to encourage brainstorming notions in a child. It works on the concept of rotation, revolution, and a part of the solar system as well.","The Tellurian Orrery is a perfectly practical and accurate model explaining the interrelation among the motions of Earth, Sun, and Moon. It eases out all the hard work of remembering the complexities of space science as you can see everything happening realistically in front of you!","It is a perfectly practical and accurate model explaining the interrelation among the motions of Earth, Sun, and Moon; exploring why, when, and how the solar/ lunar eclipse occurs. It eases out all the hard work of remembering the complexities of space science as you can see everything happening realistically in front of you! The Tellurian Orrery is a perfect gift for kids and adults alike! Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Tellurian Orrery today!",1499,1499,False,,New Arrivals ,"12+ years

Birthday Presents

Educational Toys

Mechanical Toys

Construction & Building Toys

Artistic Toys

Wooden Toys",tellurian-orrery,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
7,Sailboat,,,"Be it your work desk or your home showcase - flaunt your making skills with this exquisite and eco-friendly Sailboat, built completely out of wood. Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Sailboat today!",599,599,False,,New Arrivals ,"8+ years

Birthday Presents

Construction & Building Toys

Artistic Toys

Wooden Toys",sailboat,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
8,Glider,"Allow kids to stretch their creativity and building skills as they race around their plane, imagining themselves high up in the sky!","Allow kids to stretch their creativity and building skills as they race around their plane, imagining themselves high up in the sky!","Allow kids to stretch their creativity and building skills as they race around their plane, imagining themselves high up in the sky! The Glider is a perfect gift for kids and adults alike! Have fun and take pride in creating a working model, gluelessly, without any hassle. Get yourself the mysterious puzzle-solving kit of Glider today!",449,449,False,,Classics,"6+ years

Birthday Presents

Return Gifts

Educational Toys

Construction & Building Toys

Wooden Toys",glider,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
9,Dot The Numbers,"Let kids tinker with the segments without the need to do something useful. Slowly and eventually, through trial and error, they begin their journey of numbers. Before you know it, they will be adding and subtracting as well!","Let kids tinker with the segments without the need to do something useful. Slowly and eventually, through trial and error, they begin their journey of numbers. Before you know it, they will be adding and subtracting as well!","Let kids tinker with the segments without the need to do something useful. Slowly and eventually, through trial and error, they begin their journey of numbers. Before you know it, they will be adding and subtracting as well!",949,949,False,,Classics,"3+ years

Birthday Presents

Educational Toys

Mathematical Toys

Construction & Building Toys

Wooden Toys",dot-the-numbers,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
10,Opero Numero,"The number blocks are designed such that two 1s equals 2 and two 2s equals 4 and so on. Kids as well as adults can tinker together as they navigate their way through numbers, basic operations and all the way to fractions. All you gotta do is stack them up and answers appear right in front of your eyes!","The number blocks are designed such that equal height implies equal value. All you gotta do is stack them up and come up with answers to basic operations like add, subract, and more appear right in front of your eyes!","The number blocks are designed such that two 1s equals 2 and two 2s equals 4 and so on. Kids as well as adults can tinker together as they navigate their way through numbers, basic operations and all the way to fractions. All you gotta do is stack them up and answers appear right in front of your eyes!",1599,1599,False,,Bestsellers,"3+ years

Birthday Presents

Educational Toys

Mathematical Toys

Construction & Building Toys

Wooden Toys",opero-numero,"DIY toy, STEM TOYS, Educational Toy, Learning Toy, Working Toy, Moving Toy, Mechanical Toy, scientific toy, Puzzle, Models, eco-friendly toys, modern, 3D toys,maker craft, maker toys, innovative toys, creative toys, boredom busters, STEAM Toy, sustainable toy, no plastic"
